100x100
(87, 71)
(88, 71)
(87, 72)
(88, 70)
(89, 70)
(87, 70)
(89, 71)
(88, 72)
(89, 72)
(25, 91)
(25, 92)
(25, 93)
(26, 94)
(27, 94)
(28, 94)
(29, 94)
(30, 94)
(30, 93)
(31, 93)
(31, 92)
(31, 91)
(30, 91)
(29, 90)
(28, 90)
(27, 90)
(26, 90)
(26, 92)
(27, 92)
(26, 93)
(27, 91)
(28, 91)
(26, 91)
(28, 92)
(27, 93)
(28, 93)
(29, 91)
(29, 92)
(29, 93)
(30, 92)
(67, 66)
(68, 66)
(67, 67)
(68, 65)
(69, 65)
(67, 65)
(69, 66)
(68, 67)
(69, 67)
(17, 82)
(18, 82)
(17, 83)
(18, 81)
(19, 81)
(17, 81)
(19, 82)
(18, 83)
(19, 83)
(29, 10)
(30, 10)
(29, 11)
(30, 9)
(31, 9)
(29, 9)
(31, 10)
(30, 11)
(31, 11)
(89, 90)
(90, 90)
(90, 89)
(91, 90)
(90, 91)
(89, 50)
(90, 50)
(90, 49)
(91, 50)
(90, 51)
(79, 30)
(80, 30)
(80, 29)
(81, 30)
(80, 31)
(79, 70)
(80, 70)
(80, 69)
(81, 70)
(80, 71)
(89, 10)
(90, 10)
(90, 9)
(91, 10)
(90, 11)
(9, 50)
(10, 50)
(10, 49)
(11, 50)
(10, 51)
(19, 30)
(20, 30)
(20, 29)
(21, 30)
(20, 31)
(19, 70)
(20, 70)
(20, 69)
(21, 70)
(20, 71)
(9, 90)
(10, 90)
(10, 89)
(11, 90)
(10, 91)
(49, 80)
(50, 80)
(50, 79)
(51, 80)
(50, 81)
(9, 10)
(10, 10)
(10, 9)
(11, 10)
(10, 11)
(49, 20)
(50, 20)
(50, 19)
(51, 20)
(50, 21)
